Run,TimeMs
0,1717
1,1688
2,1805
3,1761
4,1684
5,1925
6,1712
7,2625
8,1692
9,1945
10,1716
11,1748
12,1674
13,1720
14,1932
15,1725
16,1993
17,1969
18,1717
19,2196
20,1741
21,2013
22,1754
23,1759
24,1934
25,1720
26,2025
27,1723
28,1966
29,3284
30,1704
31,1750
32,1672
33,1763
34,1752
35,1768
36,1796
37,1992
38,1741
39,1936
40,1782
41,2508
42,1701
43,1791
44,1960
45,1691
46,1701
47,1791
48,1835
49,1818
50,1818
51,1743
52,1768
53,3051
54,1782
55,2026
56,1664
57,1802
58,1676
59,1777
60,1728
61,1732
62,1750
63,1783
64,1771
65,3571
66,1724
67,1729
68,1985
69,1763
70,1704
71,1842
72,1722
73,1981
74,1729
75,2008
76,2718
77,1734
78,1760
79,1923
80,1756
81,1752
82,1721
83,1808
84,1982
85,2035
86,1757
87,3296
88,1989
89,1931
90,1869
91,1753
92,1820
93,1724
94,1999
95,1759
96,1761
97,1746
98,1732
99,3160
