Run,TimeMs
0,1596
1,1471
2,1834
3,1659
4,1465
5,1469
6,1482
7,1433
8,1478
9,1575
10,1463
11,1690
12,1422
13,1755
14,1514
15,1548
16,1947
17,1433
18,1456
19,1478
20,1477
21,1764
22,1488
23,1571
24,1482
25,1448
26,1488
27,1647
28,3172
29,1474
30,1539
31,1648
32,1512
33,1510
34,1653
35,1491
36,1473
37,1514
38,1542
39,1474
40,1515
41,3532
42,1428
43,1485
44,1551
45,1684
46,1488
47,1679
48,1756
49,1487
50,1451
51,1515
52,1488
53,1496
54,1504
55,3012
56,1550
57,1477
58,1536
59,1583
60,1504
61,1532
62,1642
63,1775
64,1684
65,1516
66,1492
67,1755
68,3471
69,1745
70,1491
71,1495
72,1549
73,1494
74,1485
75,1511
76,1578
77,1449
78,1479
79,1537
80,1486
81,2510
82,1484
83,1532
84,1482
85,1467
86,1556
87,1624
88,1539
89,1504
90,1552
91,1541
92,1479
93,1536
94,2871
95,1493
96,1681
97,1449
98,1479
99,1475
